,first_name,name,year,rank,genre
87,A.B.,Convoi de femmes,1974,,War
88,A.C.,'68,1988,5.5,Drama
89,A.C.,David and Bert,1975,,Documentary
90,A.C.,David and Bert,1975,,Short
91,A.C.,Deuce Duncan,1918,,Western
92,A.D.,Amor fati,1997,,Documentary
93,A.D.,Amor fati,1997,,Documentary
94,A.D.,"Brewster Project, The",2004,7.0,Drama
95,A.D.,Cloaca,2003,,Comedy
96,A.D.,Cloaca,2003,,Drama
97,A.F.,Arkov podvig,1961,,Short
98,A.F.,Color of Skiing,1976,,Documentary
99,A.G.,All Teed Up,1930,7.2,Comedy
100,A.G.,All Teed Up,1930,7.2,Short
101,A.G.,"Bedaure, falsch verbunden",1962,,Crime
102,A.H.,"Atom Boom, The",1967,,Animation
103,A.H.,"Atom Boom, The",1967,,Short
104,A.J.,"3rd Barry Manilow Special, The",1979,,Music
105,A.J.,Big Time,2001,7.5,Comedy
106,A.J.,Big Time,2001,7.5,Documentary
107,A.J.,Big Time,2001,7.5,Comedy
108,A.J.,Big Time,2001,7.5,Documentary
109,A.J.,Big Time,2001,7.5,Comedy
110,A.J.,Big Time,2001,7.5,Documentary
111,A.J.,Busting,1974,5.3,Crime
112,A.J.,Busting,1974,5.3,Drama
113,A.J.,Circus Hoodoo,1934,,Comedy
114,A.J.,Circus Hoodoo,1934,,Short
115,A.J.,Coma,1978,6.7,Mystery
116,A.J.,Coma,1978,6.7,Thriller
117,A.J.,"Designing Women Reunion, The",2003,,Comedy
118,A.J.,"Designing Women Reunion, The",2003,,Documentary
119,A.K.,Beating the Odds,1919,,Drama
120,A.K.,"Common Law, The",1931,5.3,Drama
121,A.K.,"Common Law, The",1931,5.3,Romance
122,A.K.,"Courtesans of Bombay, The",1983,,Documentary
123,A.K.,"Courtesans of Bombay, The",1983,,Music
124,A.M.,Clause toujours,1999,,Short
125,A.N.,Black Autumn,2005,,Drama
126,A.N.,Black Autumn,2005,,Horror
127,A.N.,Black Autumn,2005,,Thriller
128,A.O.,Desert Greed,1926,,Western
129,A.P.,Cat Girl,1957,4.5,Horror
130,A.P.,Disbarred,1939,,Crime
131,A.P.,Disbarred,1939,,Drama
132,A.P.,Disbarred,1939,,Thriller
133,A.R.,"Black Pirate, The",1926,7.6,Action
134,A.R.,"Black Pirate, The",1926,7.6,Adventure
135,A.R.,Casino,1991,,Short
136,A.R.,"City of Stars, The",1924,,Short
137,A.R.,Creative Process 473,2002,,Comedy
138,A.R.,Creative Process 473,2002,,Short
139,A.R.,Creative Process 473,2002,,Comedy
140,A.R.,Creative Process 473,2002,,Short
141,A.R.,Distant Bridges,1999,,Romance
142,A.R.,Distant Bridges,1999,,War
143,A.S.,Aranjuez,1971,,Documentary
144,A.S.,Aranjuez,1971,,Short
145,A.T.,"'Space: 1999' Documentary, The",1996,,Documentary
146,A.T.,"'Space: 1999' Documentary, The",1996,,Documentary
147,A.T.,City Center and Pedestrians,1974,,Documentary
148,A.V.,Akai kaben ga nureru,1977,,Drama
149,A.V.,"Cambiale, La",1959,6.9,Comedy
150,A.V.,Cowboys Don't Cry,2002,,Short
151,A.V. Ayyappan,"Cat, The",1966,4.2,Adventure
152,A.W.,(R),2003,,Drama
153,A.W.,(R),2003,,Fantasy
154,A.W.,(R),2003,,Short
155,A.W.,"Aufrecht gehen, Rudi Dutschke - Spuren",1988,,Documentary
156,A.W.,"Constructing Reality: Exploring Media Issues in Documentary - Voices of Experience, Voices for Chang",1993,,Documentary
157,A.W.,Demony wojny wedlug Goi,1998,6.0,Drama
158,A.W.,Demony wojny wedlug Goi,1998,6.0,War
159,A.Y.,"Arizona Kid, The",1929,,Western
160,Aage,Akasztottak,1999,,Documentary
161,Aage,Akasztottak,1999,,Short
162,Aage,Aysecik - Bos Besik,1965,,Drama
163,Aage,Billie's Mother,1916,,Short
164,Aage,City of Gold,1957,6.8,Documentary
165,Aage,City of Gold,1957,6.8,Short
166,Aage,City of Gold,1957,6.8,Documentary
167,Aage,City of Gold,1957,6.8,Short
168,Aage,Corrupcin sangrienta,1994,,Action
169,Aare,Daughters of the Dust,1991,5.4,Drama
170,Aarne,"Blooming Angel, The",1920,,Comedy
171,Aarne,Cavalier of the West,1931,,Western
172,Aarne,Dann nenn es halt Liebe,2001,,Short
173,Aarno,"Angel Wore Red, The",1960,5.2,Action
174,Aarno,"Angel Wore Red, The",1960,5.2,Drama
175,Aarno,"Angel Wore Red, The",1960,5.2,War
176,Aaron,35 Up,1991,,Documentary
177,Aaron,A fost odata,1957,,Animation
178,Aaron,A fost odata,1957,,Short
179,Aaron,Aber auch ich,1999,,Documentary
180,Aaron,"African Hunt, An",1915,,Animation
181,Aaron,"African Hunt, An",1915,,Comedy
182,Aaron,"African Hunt, An",1915,,Short
183,Aaron,Angelina,1988,,Drama
184,Aaron,Artakarg handznararutyun,1966,,Action
185,Aaron,Artakarg handznararutyun,1966,,Adventure
186,Aaron,Artakarg handznararutyun,1966,,Action
187,Aaron,Artakarg handznararutyun,1966,,Adventure
188,Aaron,"Atonement, The (1914/II)",1914,,Drama
189,Aaron,"Atonement, The (1914/II)",1914,,Short
190,Aaron,"Atonement, The (1914/II)",1914,,Western
191,Aaron,"Barney Bentall and the Legendary Hearts: Last 20 Years, The",1998,,Musical
192,Aaron,Beefcake,1998,7.4,Drama
193,Aaron,Being Light,2001,4.6,Comedy
194,Aaron,Being Light,2001,4.6,Comedy
195,Aaron,"Brighton Mystery, The",1924,,Crime
196,Aaron,"Brighton Mystery, The",1924,,Drama
197,Aaron,"Brighton Mystery, The",1924,,Mystery
198,Aaron,Britannia Beach,2002,,Documentary
199,Aaron,Cachorro,2004,6.2,Comedy
200,Aaron,Caf Paradis,1950,8.9,Drama
201,Aaron,Caf Paradis,1950,8.9,Drama
202,Aaron,Carry On Again Doctor,1969,5.2,Comedy
203,Aaron,Cette nuit,1998,,Drama
204,Aaron,Cette nuit,1998,,Romance
205,Aaron,Charly,1968,7.3,Drama
206,Aaron,Charly,1968,7.3,Sci-Fi
207,Aaron,Ciencias naturales (1975/II),1975,,Documentary
208,Aaron,Ciencias naturales (1975/II),1975,,Short
209,Aaron,Cin,1980,,Short
210,Aaron,Coastlines,2002,4.2,Drama
211,Aaron,Command & Conquer: Yuri's Revenge,2001,,Action
212,Aaron,Command & Conquer: Yuri's Revenge,2001,,Adventure
213,Aaron,Command & Conquer: Yuri's Revenge,2001,,Animation
214,Aaron,Command & Conquer: Yuri's Revenge,2001,,Sci-Fi
215,Aaron,Command & Conquer: Yuri's Revenge,2001,,War
216,Aaron,Como Era Gostoso o Meu Francs,1971,7.3,Drama
217,Aaron,Computerbilleder - udfordring til virkeligheden,1992,,Animation
218,Aaron,Computerbilleder - udfordring til virkeligheden,1992,,Documentary
219,Aaron,"Corte del faran, La",1944,,Comedy
220,Aaron,"Corte del faran, La",1944,,Musical
221,Aaron,Crusoe,1989,6.0,Drama
222,Aaron,Curse II: The Bite,1988,3.7,Horror
223,Aaron,Cu azul,1940,,Comedy
224,Aaron,Cu azul,1940,,Musical
225,Aaron,Daddy's Little Didums and the New Baby,1911,,Comedy
226,Aaron,Dangshineun yeoja,1970,,Drama
227,Aaron,Dangshineun yeoja,1970,,Romance
228,Aaron,"Defaulter, The",1967,,Documentary
229,Aaron,"Defaulter, The",1967,,Short
230,Aaron,Dig That Crazy Mountain,1967,,Animation
231,Aaron,Dig That Crazy Mountain,1967,,Short
232,Aaron,Digital Hollywood,1999,,Documentary
233,Aaron,Dio perdoni la mia pistola,1969,,Western
234,Aaron,Dio perdoni la mia pistola,1969,,Western
235,Aaron (I),Amoureux fou,1991,4.7,Comedy
236,Aaron (I),Amoureux fou,1991,4.7,Drama
237,Aaron (I),Black Friday,1916,,Drama
238,Aaron (I),Caminho do Cu,1943,,Drama
239,Aaron (I),Candy Floss,1997,,Comedy
240,Aaron (I),Candy Floss,1997,,Drama
241,Aaron (I),Candy Floss,1997,,Romance
242,Aaron (I),Candy Floss,1997,,Short
243,Aaron (I),Corruption,1933,,Crime
244,Aaron (I),Corruption,1933,,Drama
245,Aaron (I),"Divine Sacrifice, The",1918,,Drama
246,Aaron (II),"Christel von der Post, Die",1956,,Comedy
247,Aaron (II),"Christel von der Post, Die",1956,,Romance
248,Aaron (II),Chyornyj koridor,1988,,Drama
249,Aaron (II),Delayed Proposals,1913,,Short
250,Aaron (II),Diamond Skulls,1989,3.8,Drama
251,Aaron (V),Ant,2002,,Short
252,Aaron Michael,Boo Hoo Baby,1951,,Animation
253,Aaron Michael,Boo Hoo Baby,1951,,Short
254,Aaron Michael,Can Ellen Be Saved?,1974,,Drama
255,Aaron N.,Auggie Rose,2000,6.2,Drama
256,Aaron N.,Auggie Rose,2000,6.2,Mystery
257,Aaron T.,"Devil in the Holy Water, The",2002,6.8,Documentary
258,Aarre,As es la mujer,1936,,Comedy
259,Aarre,As es la mujer,1936,,Drama
260,Aart van,9 Nelalu,2001,,Drama
261,Aase,Corrida de Feria,1961,,Documentary
262,Aase,Corrida de Feria,1961,,Short
263,Aatto,"Chaud lapin, Le",1974,5.6,Comedy
264,Ababacar,Conrack,1974,6.8,Drama
265,Abai,Black Noise,2001,,Sci-Fi
266,Abai,Black Noise,2001,,Short
267,Abas,"Black Raven, The",1943,5.0,Mystery
268,Abbas,Black Beauty (1921/I),1921,,Drama
269,Abbas,Bloco Afro and Afox: Afro-Brazilian Carnival as a Political & Religious Stage,2003,,Documentary
270,Abbas,Bloco Afro and Afox: Afro-Brazilian Carnival as a Political & Religious Stage,2003,,Short
271,Abbas,Crackdown (1988/I),1988,,Action
272,Abbe,Digital Dreams,1983,,Music
273,Abbey,Breakin' Loose,1925,,Short
274,Abbey,Breakin' Loose,1925,,Western
275,Abby,Atama-yama,2002,6.9,Animation
276,Abby,Atama-yama,2002,6.9,Comedy
277,Abby,Atama-yama,2002,6.9,Fantasy
278,Abby,Atama-yama,2002,6.9,Short
279,Abby,Bluebeard's Eighth Wife,1938,6.9,Comedy
280,Abby,Bluebeard's Eighth Wife,1938,6.9,Romance
281,Abby,Burn,1990,,Short
282,Abby,"Count and the Wedding Guest, The",1918,,Short
283,Abd-el-Kader,"4 jaargetijden, De",1993,,Short
284,Abdel,Blade Runner,1982,8.2,Drama
285,Abdel,Blade Runner,1982,8.2,Sci-Fi
286,Abdel Aziz,Bhalevadivi Basu,2001,,Comedy
287,Abdel Aziz,Bhalevadivi Basu,2001,,Family
288,Abdel Hadi,"Cas Labrecque, Le",1956,,Short
289,Abdel Hadi,"Cas Labrecque, Le",1956,,Short
290,Abdel Jaber,America: The Everglades,1971,,Family
291,Abdel Khalak,11 ottavi,2000,,Comedy
292,Abdelahai,Borrowed Trouble,1948,5.6,Action
293,Abdelahai,Borrowed Trouble,1948,5.6,Adventure
294,Abdelahai,Borrowed Trouble,1948,5.6,Western
295,Abdelkader,Book of Shadows: Blair Witch 2,2000,4.2,Horror
296,Abdellatif,'Dikke Bertha' op doortocht in Brussel,1919,,Documentary
297,Abdellatif,Ad libitum 4. Variatzii na graf dyo Burbulon,2000,,Short
298,Abder,Contrrio ao Amor,1986,,Documentary
299,Abder,Contrrio ao Amor,1986,,Short
300,Abdolhossein,Cowardly Watchdog,1966,,Animation
301,Abdolhossein,Cowardly Watchdog,1966,,Short
302,Abdolrasoul,Bandits,1997,6.3,Drama
303,Abdolrasoul,Bandits,1997,6.3,Music
304,Abdoulaye,8 1/2 X 11,1974,,Short
305,Abdul,Boston Blackie,1923,,Crime
306,Abdul,Boston Blackie,1923,,Drama
307,Abdul,Bultaco 125 cc,1984,,Short
308,Abdul,"Cerf-volantiste, Le",1983,,Documentary
309,Abdul,"Cerf-volantiste, Le",1983,,Short
310,Abdul Latif,Confluencias,1998,,Documentary
311,Abdul Latif,Confluencias,1998,,Short
312,Abdul Rehman,Bitter Vengeance,1994,,Thriller
313,Abdula,Bumping Into Broadway,1919,7.5,Comedy
314,Abdula,Bumping Into Broadway,1919,7.5,Short
315,Abdulkadir Ahmed,"Confession, The",2000,8.2,Short
316,Abdullah,Changbakui yeoja,1980,,Drama
317,Abdullah,Changbakui yeoja,1980,,Thriller
318,Abdusalom,"City, The",1985,,Documentary
319,Abe,Alien Avengers II,1998,,Comedy
320,Abe,Alien Avengers II,1998,,Sci-Fi
321,Abe,Ayn Rand: A Sense of Life,1997,6.2,Documentary
322,Abe,Bone Dry,1927,,Animation
323,Abe,Bone Dry,1927,,Comedy
324,Abe,Bone Dry,1927,,Short
325,Abe,"Box, The",2001,,Short
326,Abe,"Breaking Point, The",1950,7.4,Crime
327,Abe,"Breaking Point, The",1950,7.4,Drama
328,Abe,"Breaking Point, The",1950,7.4,Film-Noir
329,Abe,Bu bu zhui zong,1962,,Drama
330,Abe,Cradle Will Rock,1999,6.7,Drama
331,Abel,Am Anfang war die Eifersucht,2001,,Comedy
332,Abel,Atlantis,1913,6.5,Drama
333,Abel,"Autocrat of Flapjack Junction, The",1913,,Comedy
334,Abel,"Autocrat of Flapjack Junction, The",1913,,Short
335,Abel,Bad Blood,1981,6.0,Drama
336,Abel,Bhakta Tukaram,1973,,Drama
337,Abel,Bhakta Tukaram,1973,,Musical
338,Abel,"Conformista, Il",1970,7.6,Drama
339,Abelardo,Brder und Schwestern in Deutschland,1990,,Documentary
340,Abhaycharan,Booker,1984,,Drama
341,Abhaycharan,Booker,1984,,Family
342,Abhaycharan,Booker,1984,,Short
343,Abhijit,"Ametralladora, El",1943,,Drama
344,Abigail,American Nutria,2004,,Short
345,Abigail,Ciencia nueva,1987,,Drama
346,Abigail,Ciencia nueva,1987,,Short
347,Abigail,Colgio de Brotos,1955,,Comedy
348,Abigail,"Coyote y la bronca, El",1978,,Adventure
349,Abigail,"Coyote y la bronca, El",1978,,Drama
350,Abigail,"Coyote y la bronca, El",1978,,Western
351,Abigail,"Cndido de da, Prez de noche",1992,,Comedy
352,Abigail,"Cndido de da, Prez de noche",1992,,Fantasy
353,Abigail,"Cndido de da, Prez de noche",1992,,Mystery
354,Abilio,Children and Asthma,2002,,Documentary
355,Abner,"Adversary, The",1970,,Drama
356,Abolfazl,Big Time,1988,6.0,Documentary
357,Abolfazl,Big Time,1988,6.0,Music
358,Abraham,Boys of the Otter Patrol,1918,,Adventure
359,Abraham,Boys of the Otter Patrol,1918,,Family
360,Abraham,Bridge to the Sun,1961,6.7,Drama
361,Abraham,Business Before Honesty,1918,,Comedy
362,Abraham,Business Before Honesty,1918,,Short
363,Abraham,Calling Bulldog Drummond,1951,5.4,Crime
364,Abraham,Calling Bulldog Drummond,1951,5.4,Mystery
365,Abraham,Clean Milk,1944,,Documentary
366,Abraham,Clean Milk,1944,,Short
367,Abraham,Courage and the Man,1915,,Drama
368,Abraham,Courage and the Man,1915,,Short
369,Abraham,"Diskette, El",2001,,Short
370,Abraham Lincoln,"Bridge Too Far, A",1977,7.0,Action
371,Abraham Lincoln,"Bridge Too Far, A",1977,7.0,Drama
372,Abraham Lincoln,"Bridge Too Far, A",1977,7.0,War
373,Abram,Come on George,1939,5.9,Comedy
374,Acharya M.,Bl jachta ve Splitu,1939,,Romance
375,Achero,"Caddy, The",1953,5.7,Comedy
376,Achiles,"Dans 'van' Waterloo, De",1959,,Drama
377,Achille,Agentenfieber,1997,,Comedy
378,Achim,Babuschka,1996,,Drama
379,Achim,Behind the Feline: The Cartoon Phenomenon,2003,,Documentary
380,Achim,Behind the Feline: The Cartoon Phenomenon,2003,,Short
381,Achim,Derren Brown: Sance,2004,,Documentary
382,Achim,Derren Brown: Sance,2004,,Mystery
383,Ackyl,4 fans fik chancen for at mde 'Vegas folket' p Comedy Zoo i Kbenhavn,2003,,Documentary
384,Aco,"14th Annual Grammy Awards, The",1972,,Music
385,Ad,"Agent gel, L'",1908,,Short
386,Ada,"Caula do Barulho, O",1949,,Comedy
387,Ada,Debatra,1955,,Family
388,Ada Bligaard,Dancing Darkies,1896,3.0,Documentary
389,Ada Bligaard,Dancing Darkies,1896,3.0,Short
390,Adalaida,Dead Giveaway,1995,,Action
391,Adalaida,Dead Giveaway,1995,,Crime
392,Adalbert,Christina,1974,5.2,Mystery
393,Adam,2001: A Space Travesty,2000,2.5,Comedy
394,Adam,2001: A Space Travesty,2000,2.5,Sci-Fi
395,Adam,54-40: Since When,1998,,Musical
396,Adam,A la altura de los ojos,1988,,Drama
397,Adam,A la altura de los ojos,1988,,Short
398,Adam,Abandon,2004,,Short
399,Adam,"Adventurer, The (1917/II)",1917,,Drama
400,Adam,After Death,1988,4.1,Horror
401,Adam,Agouri sarka,1974,,Adventure
402,Adam,Airborne,1962,,Drama
403,Adam,Al sur de Gran Canaria,1976,,Documentary
404,Adam,Al sur de Gran Canaria,1976,,Short
405,Adam,Alkali Ike Bests Broncho Billy,1912,,Comedy
406,Adam,Alkali Ike Bests Broncho Billy,1912,,Short
407,Adam,Almost a Hero,1915,,Comedy
408,Adam,Almost a Hero,1915,,Short
409,Adam,"Amore imperfetto, L'",2002,,Drama
410,Adam,Ana,1955,,Short
411,Adam,Anakku Sazali,1956,,Drama
412,Adam,Anakku Sazali,1956,,Family
413,Adam,Angel Town,1990,4.1,Action
414,Adam,Appointment with Fear,1987,4.0,Horror
415,Adam,Appointment with Fear,1987,4.0,Horror
416,Adam,"Arnaud, Les",1967,,Crime
417,Adam,"Arnaud, Les",1967,,Drama
418,Adam,Artists of Hell's Kitchen,2000,,Documentary
419,Adam,Arusln senki,1991,7.1,Adventure
420,Adam,Arusln senki,1991,7.1,Animation
421,Adam,Arzew,2000,,Documentary
422,Adam,Arzew,2000,,Short
423,Adam,"Asturias, sus gentes, sus cosas: La mar",1975,,Short
424,Adam,Atesli cingene,1969,7.6,Romance
425,Adam,Aufstieg und Fall der Stadt Mahagonny,1998,,Comedy
426,Adam,Aufstieg und Fall der Stadt Mahagonny,1998,,Drama
427,Adam,Aufstieg und Fall der Stadt Mahagonny,1998,,Music
428,Adam,Ayse'nin ilesi,1958,,Drama
429,Adam,Ayse'nin ilesi,1958,,Romance
430,Adam,Baby Brown,1990,3.0,Action
431,Adam,"Baulwe, Der",1980,,Comedy
432,Adam,Beer Barrel Polecats,1946,6.3,Comedy
433,Adam,Beer Barrel Polecats,1946,6.3,Short
434,Adam,Behind the Front,1926,,Comedy
435,Adam,Bei Aufschlag Mord,1996,,Romance
436,Adam,Bei Aufschlag Mord,1996,,Thriller
437,Adam,"Belgique, La",1927,,Documentary
438,Adam,Benzinis chamomskhmeli,1977,,Drama
439,Adam,Benzinis chamomskhmeli,1977,,Short
440,Ádám,Between Meals,1926,,Comedy
441,Ádám,Between Meals,1926,,Short
442,Adam,Big Business,1988,5.7,Comedy
443,Adam,"Blackfoot Conspiracy, A",1912,,Drama
444,Adam,"Blackfoot Conspiracy, A",1912,,Short
445,Adam,"Blackfoot Conspiracy, A",1912,,Western
446,Adam,Boba i slon,1972,,Family
447,Adam,Boca a boca,1995,6.7,Comedy
448,Adam,Body Without Soul,1996,4.9,Documentary
449,Adam,Boldogtalan kalap,1980,,Drama
450,Adam,Boldogtalan kalap,1980,,Romance
451,Adam,Born American,1986,4.5,Action
452,Adam,Born American,1986,4.5,Drama
453,Adam,Born American,1986,4.5,Thriller
454,Adam,"Broken Giant, The",1998,3.8,Drama
455,Adam,"Business, The",2003,,Short
456,Adam,Caipiranha,1998,5.4,Comedy
457,Adam,"Caporal pingl, Le",1962,6.9,Comedy
458,Adam,"Caporal pingl, Le",1962,6.9,Drama
459,Adam,Caresse,1998,,Comedy
460,Adam,Caresse,1998,,Short
461,Adam,Central Park Walk,2003,,Comedy
462,Adam,Central Park Walk,2003,,Short
463,Adam,"Child of the Prairie, A",1915,,Western
464,Adam,Chitralekha,1964,7.7,Drama
465,Adam,Chitralekha,1964,7.7,Fantasy
466,Adam,Choorian,1998,6.4,Action
467,Adam,Choorian,1998,6.4,Comedy
468,Adam,Choorian,1998,6.4,Romance
469,Adam,"Clay Pigeon, The",1949,7.2,Drama
470,Adam,"Clay Pigeon, The",1949,7.2,Film-Noir
471,Adam,Cold Turkey,1922,,Animation
472,Adam,Cold Turkey,1922,,Comedy
473,Adam,Cold Turkey,1922,,Short
474,Adam,Cold Turkey (2003/I),2003,,Drama
475,Adam,Colonization,1994,,War
476,Adam,Color Adjustment,1991,6.3,Documentary
477,Adam,Colturi din Romnia,1936,,Documentary
478,Ádám,"Commuters, The",1915,,Comedy
479,Adam,"Conqueror, The (1995/I)",1995,,Action
480,Adam,Contact (2002/III),2002,7.1,Drama
481,Adam,Contact (2002/III),2002,7.1,Short
482,Adam,Corky of Gasoline Alley,1951,,Comedy
483,Adam,Crash Skid Love,1999,,Animation
484,Adam,Crash Skid Love,1999,,Short
485,Adam,"Creature Walks Among Us, The",1956,5.0,Horror
486,Adam,"Creature Walks Among Us, The",1956,5.0,Sci-Fi
487,Adam,"Cross in the Cacti, The",1914,,Short
488,Adam,"Cross in the Cacti, The",1914,,Western
489,Adam,"Crossing, The",1999,6.5,Drama
490,Adam,D.I.L.,2002,4.7,Action
491,Adam,D.I.L.,2002,4.7,Drama
492,Adam,"Dangerous Trail, The",1928,,Short
493,Adam,"Dangerous Trail, The",1928,,Western
494,Adam,Dawn of an Evil Millennium,1988,6.7,Short
495,Adam,Dead Clean,1998,,Short
496,Adam,Defense Play,1988,4.5,Action
497,Adam,Den' solntsa i dozhdya,1967,,Family
498,Adam,Destry,1954,6.1,Western
499,Adam,Deti solntsa,1956,,Drama
500,Adam,"Deuda, La",1992,,Documentary
501,Adam,"Diavoli dello spazio, I",1965,3.5,Sci-Fi
502,Adam,"Diecisiete Congreso Internacional de Ferrocarriles, El",1958,,Documentary
503,Adam,"Diecisiete Congreso Internacional de Ferrocarriles, El",1958,,Short
504,Adam,Dinky Finds a Home,1946,,Animation
505,Adam,Dinky Finds a Home,1946,,Short
506,Adam (I),Adulterio nacional,1981,,Comedy
507,Ádám (I),Angels One Five,1953,6.0,War
508,Adam (I),Bandolero!,1968,6.2,Western
509,Adam (I),Bioman,1989,,Action
510,Adam (I),Black Tar Heroin: The Dark End of the Street,2000,6.2,Documentary
511,Adam (I),"Crooked Trail, The",1936,,Western
512,Adam (I),Crmonie (1995/II),1995,,Short
513,Adam (I),David Thompson: The Great Mapmaker,1964,,Drama
514,Adam (I),David Thompson: The Great Mapmaker,1964,,Short
515,Adam (I),"Devil's Mistress, The",1966,,Horror
516,Adam (I),"Devil's Mistress, The",1966,,Western
517,Adam (I),Diferente,1962,4.3,Drama
518,Adam (I),Diferente,1962,4.3,Fantasy
519,Adam (I),Diferente,1962,4.3,Musical
520,Adam (II),Adorada enemiga,1963,,Drama
521,Adam (II),"Amoureux sont seuls au monde, Les",1947,5.8,Drama
522,Adam (II),"Autore, una citt, una eredit difficile, Un",1980,,Documentary
523,Adam (II),"Autore, una citt, una eredit difficile, Un",1980,,Documentary
524,Adam (II),"Cabina, La",1973,9.4,Short
525,Adam (II),Como Matar um Play-Boy,1968,,Comedy
526,Adam (II),"Cou de Clarisse, Le",2003,,Comedy
527,Adam (II),"Cou de Clarisse, Le",2003,,Short
528,Adam (II),"Croisade d'Anne Buridan, La",1995,7.0,Comedy
529,Adam (II),Deadly Spygames,1989,3.9,Comedy
